section_id,norm_multi_family_score,norm_single_family_score,norm_score,urban_parcel_classification,norm_optimal_housing_type,num_housing_units,municipality_name,district_name,comarca,lat,lon,cluster_sc,cluster_description,household_income_sc,multi_family_rental_ppm2_sc,multi_family_purchase_ppm2_percentile_sc,single_family_rental_ppm2_sc,single_family_purchase_ppm2_percentile_sc,office_analysis,office_rental_ppm2
820501012,56.74746162676584,29.771533912372664,56.74746162676584,Other,,0.0,Sant Cugat del Vallès,Montbau,Valles Occidental,41.45082024,2.108036711,5,01 Top Premium Urban Areas,124537.0,15.0,4688.108108,8.2,2867.666666666667,Other,0.0
820501013,37.33156367189376,0.0,37.33156367189376,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47141903,2.093650513,0,03 Premium Urban Areas,112955.0,14.1,4214.756757,,,Other,0.0
820501014,28.99841010690101,0.0,28.99841010690101,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47720334,2.082492027,2,"05 Central Metropolitan Location, Regeneration",95404.0,13.7,4012.248649,,,Other,0.0
820501015,35.44681418201255,0.0,35.44681418201255,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47984928,2.083978999,2,"05 Central Metropolitan Location, Regeneration",103594.0,13.4,3863.545946,,,Other,0.0
820501016,32.05135350294473,0.0,32.05135350294473,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.48146494,2.086843351,0,03 Premium Urban Areas,97440.0,14.3,4317.827027,,,Office Consolidated,11.297
820501017,32.322563483650214,0.0,32.322563483650214,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.48489114,2.077027233,0,03 Premium Urban Areas,109192.0,15.0,4688.108108,,,Other,0.0
820501018,59.24003741746346,0.0,59.24003741746346,Other,Multi-Family,2057.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.49605976,2.061210989,5,01 Top Premium Urban Areas,89228.0,14.7,4527.6,,,Mix Use New Development,11.613
820501019,33.55476011857858,0.0,33.55476011857858,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47045473,2.0933622,6,"06 Central Midsized Cities, Regeneration",106668.0,12.9,3621.762162,,,Other,0.0
820501020,29.243218302572817,0.0,29.243218302572817,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.48249337,2.089471742,2,"05 Central Metropolitan Location, Regeneration",84408.0,12.6,3480.324324,,,Other,0.0
820501021,25.572034776780143,26.363926697109388,26.363926697109388,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47541192,2.081159247,2,"05 Central Metropolitan Location, Regeneration",66855.0,11.2,2856.302703,7.7,2554.772357723577,Other,0.0
820501022,31.56735996775072,13.478802363356284,31.56735996775072,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47470105,2.088686206,2,"05 Central Metropolitan Location, Regeneration",56588.0,11.9,3160.897297,5.6,1230.1788617886175,Other,0.0
820501023,28.96400504746822,0.0,28.96400504746822,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47949498,2.0793191,2,"05 Central Metropolitan Location, Regeneration",90136.0,13.8,4062.421622,,,Other,0.0
820501024,25.553827266512595,0.0,25.553827266512595,Other,,0.0,,,,41.48269433,2.067078676,1,07 Peripheral Areas,80917.0,11.8,3116.475676,,,Other,0.0
820502001,47.89361360265077,46.67433216099168,47.89361360265077,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.4646847,2.072639192,0,03 Premium Urban Areas,143364.0,14.6,4474.702703,12.0,4845.365853658537,Other,0.0
820502002,28.647045437826577,0.0,28.647045437826577,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.4720401,2.078688549,2,"05 Central Metropolitan Location, Regeneration",66670.0,12.1,3250.648649,,,Other,0.0
820502003,39.314778863122704,53.2799430754371,53.2799430754371,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.46534871,2.077116136,3,"04 Quality Location, Regeneration",70360.0,12.5,3433.783784,12.8,5223.024390243903,Other,0.0
820502004,32.882499914489685,0.0,32.882499914489685,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.46595649,2.080844503,2,"05 Central Metropolitan Location, Regeneration",94375.0,11.9,3160.897297,,,Other,0.0
820502005,34.21710766138485,0.0,34.21710766138485,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47065332,2.080808556,3,"04 Quality Location, Regeneration",53396.0,11.6,3028.540541,,,Other,0.0
820502006,44.91614378147282,46.717024385978696,46.717024385978696,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.46253189,2.084698659,0,03 Premium Urban Areas,143364.0,13.0,3669.513514,12.0,4845.365853658537,Other,0.0
820502007,45.43223236391084,18.57411062237498,45.43223236391084,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.46837318,2.081051757,3,"04 Quality Location, Regeneration",69908.0,12.2,3295.978378,5.9,1395.1341463414635,Other,0.0
